round,client,loss,samples,weight
1,Client_1,0.19999055564403534,41899,0.2
1,Client_2,0.1977284699678421,41899,0.2
1,Client_3,0.20027992129325867,41899,0.2
1,Client_4,0.1983610987663269,41899,0.2
1,Client_5,0.20013375580310822,41899,0.2
2,Client_1,0.16839748620986938,41899,0.2
2,Client_2,0.16685499250888824,41899,0.2
2,Client_3,0.17087459564208984,41899,0.2
2,Client_4,0.1668788492679596,41899,0.2
2,Client_5,0.16829802095890045,41899,0.2
3,Client_1,0.16096600890159607,41899,0.2
3,Client_2,0.15984489023685455,41899,0.2
3,Client_3,0.1626587063074112,41899,0.2
3,Client_4,0.15934565663337708,41899,0.2
3,Client_5,0.16072548925876617,41899,0.2
4,Client_1,0.16026315093040466,41899,0.2
4,Client_2,0.15939000248908997,41899,0.2
4,Client_3,0.16121363639831543,41899,0.2
4,Client_4,0.1587454229593277,41899,0.2
4,Client_5,0.15969040989875793,41899,0.2
5,Client_1,0.15419882535934448,41899,0.2
5,Client_2,0.1538124680519104,41899,0.2
5,Client_3,0.15641070902347565,41899,0.2
5,Client_4,0.15286612510681152,41899,0.2
5,Client_5,0.15392734110355377,41899,0.2
6,Client_1,0.15751123428344727,41899,0.2
6,Client_2,0.15690813958644867,41899,0.2
6,Client_3,0.1583956927061081,41899,0.2
6,Client_4,0.1559593677520752,41899,0.2
6,Client_5,0.15711702406406403,41899,0.2
7,Client_1,0.16153620183467865,41899,0.2
7,Client_2,0.16145390272140503,41899,0.2
7,Client_3,0.16495636105537415,41899,0.2
7,Client_4,0.16023646295070648,41899,0.2
7,Client_5,0.16179652512073517,41899,0.2
8,Client_1,0.1497407853603363,41899,0.2
8,Client_2,0.14950978755950928,41899,0.2
8,Client_3,0.1518416851758957,41899,0.2
8,Client_4,0.14833329617977142,41899,0.2
8,Client_5,0.1496279388666153,41899,0.2
9,Client_1,0.15284448862075806,41899,0.2
9,Client_2,0.1529829204082489,41899,0.2
9,Client_3,0.15580123662948608,41899,0.2
9,Client_4,0.15162314474582672,41899,0.2
9,Client_5,0.15272121131420135,41899,0.2
10,Client_1,0.1500391960144043,41899,0.2
10,Client_2,0.1501065194606781,41899,0.2
10,Client_3,0.1526004523038864,41899,0.2
10,Client_4,0.14885680377483368,41899,0.2
10,Client_5,0.14977672696113586,41899,0.2
11,Client_1,0.14750824868679047,41899,0.2
11,Client_2,0.14745138585567474,41899,0.2
11,Client_3,0.14970019459724426,41899,0.2
11,Client_4,0.14608809351921082,41899,0.2
11,Client_5,0.1470811367034912,41899,0.2
12,Client_1,0.15286602079868317,41899,0.2
12,Client_2,0.15259775519371033,41899,0.2
12,Client_3,0.153952494263649,41899,0.2
12,Client_4,0.15143154561519623,41899,0.2
12,Client_5,0.15243922173976898,41899,0.2
13,Client_1,0.15240484476089478,41899,0.2
13,Client_2,0.152664452791214,41899,0.2
13,Client_3,0.15596194565296173,41899,0.2
13,Client_4,0.1514681726694107,41899,0.2
13,Client_5,0.15209345519542694,41899,0.2
14,Client_1,0.14954622089862823,41899,0.2
14,Client_2,0.14976055920124054,41899,0.2
14,Client_3,0.15262673795223236,41899,0.2
14,Client_4,0.1483352780342102,41899,0.2
14,Client_5,0.14961111545562744,41899,0.2
15,Client_1,0.1545388400554657,41899,0.2
15,Client_2,0.154187873005867,41899,0.2
15,Client_3,0.1552826166152954,41899,0.2
15,Client_4,0.15310624241828918,41899,0.2
15,Client_5,0.15390188992023468,41899,0.2
16,Client_1,0.1455472856760025,41899,0.2
16,Client_2,0.14549505710601807,41899,0.2
16,Client_3,0.14742112159729004,41899,0.2
16,Client_4,0.14426469802856445,41899,0.2
16,Client_5,0.14487645030021667,41899,0.2
17,Client_1,0.14435891807079315,41899,0.2
17,Client_2,0.14437928795814514,41899,0.2
17,Client_3,0.1470072865486145,41899,0.2
17,Client_4,0.14312763512134552,41899,0.2
17,Client_5,0.1437690705060959,41899,0.2
18,Client_1,0.16136299073696136,41899,0.2
18,Client_2,0.16089442372322083,41899,0.2
18,Client_3,0.1618465632200241,41899,0.2
18,Client_4,0.15991590917110443,41899,0.2
18,Client_5,0.16097024083137512,41899,0.2
19,Client_1,0.14303763210773468,41899,0.2
19,Client_2,0.14299748837947845,41899,0.2
19,Client_3,0.14517877995967865,41899,0.2
19,Client_4,0.14172126352787018,41899,0.2
19,Client_5,0.14242476224899292,41899,0.2
20,Client_1,0.1484316736459732,41899,0.2
20,Client_2,0.14814062416553497,41899,0.2
20,Client_3,0.14956770837306976,41899,0.2
20,Client_4,0.14696812629699707,41899,0.2
20,Client_5,0.14777927100658417,41899,0.2
21,Client_1,0.14464040100574493,41899,0.2
21,Client_2,0.14479303359985352,41899,0.2
21,Client_3,0.14784079790115356,41899,0.2
21,Client_4,0.14353622496128082,41899,0.2
21,Client_5,0.14450038969516754,41899,0.2
22,Client_1,0.14234323799610138,41899,0.2
22,Client_2,0.14218297600746155,41899,0.2
22,Client_3,0.144598126411438,41899,0.2
22,Client_4,0.14108730852603912,41899,0.2
22,Client_5,0.14203447103500366,41899,0.2
23,Client_1,0.14916762709617615,41899,0.2
23,Client_2,0.14889076352119446,41899,0.2
23,Client_3,0.15042658150196075,41899,0.2
23,Client_4,0.1481093466281891,41899,0.2
23,Client_5,0.14853239059448242,41899,0.2
24,Client_1,0.1420438140630722,41899,0.2
24,Client_2,0.14202432334423065,41899,0.2
24,Client_3,0.1441250443458557,41899,0.2
24,Client_4,0.14089900255203247,41899,0.2
24,Client_5,0.14146332442760468,41899,0.2
25,Client_1,0.14171923696994781,41899,0.2
25,Client_2,0.1416725516319275,41899,0.2
25,Client_3,0.1440279632806778,41899,0.2
25,Client_4,0.14054667949676514,41899,0.2
25,Client_5,0.14145083725452423,41899,0.2
26,Client_1,0.14184877276420593,41899,0.2
26,Client_2,0.1418444812297821,41899,0.2
26,Client_3,0.14399787783622742,41899,0.2
26,Client_4,0.14084012806415558,41899,0.2
26,Client_5,0.1412411332130432,41899,0.2
27,Client_1,0.14145612716674805,41899,0.2
27,Client_2,0.14131811261177063,41899,0.2
27,Client_3,0.14383624494075775,41899,0.2
27,Client_4,0.14025188982486725,41899,0.2
27,Client_5,0.1410742700099945,41899,0.2
28,Client_1,0.14084632694721222,41899,0.2
28,Client_2,0.14084185659885406,41899,0.2
28,Client_3,0.1435612142086029,41899,0.2
28,Client_4,0.13983184099197388,41899,0.2
28,Client_5,0.14061015844345093,41899,0.2
29,Client_1,0.14076311886310577,41899,0.2
29,Client_2,0.14059239625930786,41899,0.2
29,Client_3,0.14320343732833862,41899,0.2
29,Client_4,0.13964445888996124,41899,0.2
29,Client_5,0.14033696055412292,41899,0.2
30,Client_1,0.16392852365970612,41899,0.2
30,Client_2,0.16336123645305634,41899,0.2
30,Client_3,0.1641121804714203,41899,0.2
30,Client_4,0.16282987594604492,41899,0.2
30,Client_5,0.1632394641637802,41899,0.2
31,Client_1,0.14177115261554718,41899,0.2
31,Client_2,0.14190445840358734,41899,0.2
31,Client_3,0.14515036344528198,41899,0.2
31,Client_4,0.1407719999551773,41899,0.2
31,Client_5,0.1414955109357834,41899,0.2
32,Client_1,0.14005406200885773,41899,0.2
32,Client_2,0.14009743928909302,41899,0.2
32,Client_3,0.14302268624305725,41899,0.2
32,Client_4,0.13905444741249084,41899,0.2
32,Client_5,0.13977201282978058,41899,0.2
33,Client_1,0.14301109313964844,41899,0.2
33,Client_2,0.1429775357246399,41899,0.2
33,Client_3,0.14499790966510773,41899,0.2
33,Client_4,0.1420961320400238,41899,0.2
33,Client_5,0.1425432562828064,41899,0.2
34,Client_1,0.14070209860801697,41899,0.2
34,Client_2,0.14065581560134888,41899,0.2
34,Client_3,0.14380016922950745,41899,0.2
34,Client_4,0.13967128098011017,41899,0.2
34,Client_5,0.14043664932250977,41899,0.2
35,Client_1,0.13974396884441376,41899,0.2
35,Client_2,0.13969215750694275,41899,0.2
35,Client_3,0.14252322912216187,41899,0.2
35,Client_4,0.13876764476299286,41899,0.2
35,Client_5,0.13944678008556366,41899,0.2
36,Client_1,0.14035239815711975,41899,0.2
36,Client_2,0.1402365267276764,41899,0.2
36,Client_3,0.14346173405647278,41899,0.2
36,Client_4,0.1392204463481903,41899,0.2
36,Client_5,0.14008080959320068,41899,0.2
37,Client_1,0.1412849724292755,41899,0.2
37,Client_2,0.141146719455719,41899,0.2
37,Client_3,0.14366181194782257,41899,0.2
37,Client_4,0.14033064246177673,41899,0.2
37,Client_5,0.14114594459533691,41899,0.2
38,Client_1,0.14373740553855896,41899,0.2
