round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.9382336563091659,0.5007812394546637,5.600310396403074e-05,0.00033452073694206774
2,0.937565430448825,0.5029716310532137,0.00016100890934467316,0.001800946134608239
3,0.9354493818910792,0.5062581299559686,-0.001143322791904211,0.0074892190750688314
4,0.9285221071388796,0.5110559945365213,-0.005198055878281593,0.02515762811526656
5,0.9180086869361844,0.5112275643297083,-0.015407262369990349,0.03255435451865196
6,0.8854883617329324,0.521575308761413,-0.044316619634628296,0.07044493593275547
7,0.8962913464751086,0.5147677632830919,-0.03859803080558777,0.06640316545963287
8,0.6289787281434458,0.5813490222969707,-0.18555277585983276,0.22739186882972717
9,0.9374986078627909,0.5005594614703031,-0.0007304671453312039,0.0009849906200543046
10,0.93393473660764,0.5049420676772629,-0.003087200690060854,0.014304856536909938
11,0.7688161265174296,0.5142592771334072,-0.1904463991522789,0.2315649837255478
12,0.39717117719122397,0.6586942710411066,-0.05687636137008667,0.0528082549571991
13,0.9384786724579575,0.49989321816714916,-2.8866168577224016e-05,6.775095243938267e-06
14,0.9384118498719234,0.5000273796256246,2.4501350708305836e-05,0.00023092397896107286
15,0.9382336563091659,0.4999324624408683,-5.073193460702896e-05,0.00026182558212894946
16,0.938077736941753,0.5000191653069657,-7.959810318425298e-05,0.0005244784988462925
17,0.9379218175743401,0.500105868173063,-0.00028693239437416196,0.0005464782298076898
18,0.9374095110814122,0.5017002906972384,-0.0009666676633059978,0.0038414726150222123
19,0.9338233656309166,0.5031851904091994,-0.003871941938996315,0.012604871997609735
20,0.9190778483127297,0.5077229377720281,-0.017895357683300972,0.037837769370526075
21,0.39351820915469427,0.6652362388915563,-0.055254340171813965,0.049825072288513184
22,0.9383227530905446,0.49997992103324645,3.150175325572491e-05,0.0002385264087934047
23,0.9381891079184764,0.5000784885474383,-4.373153205960989e-05,0.0005101009737700224
24,0.938077736941753,0.5000191653069657,-7.959810318425298e-05,0.0005244784988462925
25,0.9379440917696849,0.5004572436266757,-0.0003262992249801755,0.0012004305026493967
26,0.9372313175186546,0.5016053735124821,-0.0012203692458570004,0.005013955698814243
27,0.9342688495378104,0.5024039509545357,-0.003481774590909481,0.009475160855799913
28,0.926829268292683,0.5033640651709734,-0.010916037485003471,0.02490611094981432
29,0.897494153023722,0.5125226124332927,-0.03830586560070515,0.07189378701150417
30,0.37870586925047334,0.6634574424080155,-0.050796687602996826,0.040521830320358276
31,0.9384786724579575,0.5000629735699083,6.386810855474323e-05,0.00024910271167755127
32,0.9383450272858893,0.499991785681341,7.436869782395661e-05,0.00026050636370200664
33,0.9382782046998552,0.49995619173705735,-5.42321358807385e-05,0.00026562678976915777
34,0.9381000111370976,0.5000310299550602,-0.00012596521992236376,0.0005502596613951027
35,0.9380331885510635,0.49999543601077656,-0.00016533199232071638,0.0005684383795596659
36,0.9378772691836508,0.5007611604879102,-0.00035866559483110905,0.001846780360210687
37,0.9372090433233099,0.5017632642671467,-0.0012597359018400311,0.005872223409824073
38,0.9349593495934959,0.5020927334344301,-0.0033269431442022324,0.010247143567539752
39,0.931105913798864,0.5025864803554613,-0.007477994076907635,0.016519355587661266
40,0.9255150907673461,0.5030035617389139,-0.011475037783384323,0.0247359499335289
41,0.9117050896536363,0.5090581567382676,-0.020196912810206413,0.04384549614042044
42,0.6568214723243123,0.5544200033364097,-0.21876253187656403,0.2657754719257355
43,0.4512306492927943,0.6725512965237503,-0.06709820032119751,0.07145732641220093
44,0.9296580911014589,0.5036825876596661,-0.007727289572358131,0.020587885519489646
45,0.9226417195678807,0.5060564180092135,-0.012894833460450172,0.030247009359300137
46,0.7587704644169729,0.5165473139669293,-0.2077479511499405,0.2666194662451744
47,0.3791959015480566,0.665076507888168,-0.050450265407562256,0.041249245405197144
48,0.9384563982626127,0.5000511089218137,0.00011023522529285401,0.00027488388877827674
49,0.9383227530905446,0.49997992103324645,3.150175325572491e-05,0.0002385264087934047
50,0.9382559305045105,0.49994432708896286,-9.709905134513974e-05,0.0002876067446777597
51,0.9367858336117608,0.5009434112740482,-0.002001373330131173,0.0022950659040361643
