round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.9364474739374499,0.5005252100840336,0.00013942463556304574,0.000683994498103857
2,0.937984496124031,0.5137472702469512,0.0022117270855233073,0.005398060602601618
3,0.9388086964269803,0.5208775631291626,0.003142773755826056,0.00496469573045033
4,0.9413704000712821,0.5503116176530561,0.010126040782779455,0.021815316868014634
5,0.9394769669428852,0.5267823658152956,0.004016262828372419,0.004851746067288332
6,0.9397665508331106,0.529710978025238,0.0049922353355214,0.008624216803582385
7,0.9414149514390092,0.5469087220957467,0.009241468971595168,0.019857572799082845
8,0.9403902699812884,0.5354288161167978,0.005954979918897152,0.010269574529957026
9,0.9444444444444444,0.5831195809754104,0.019056009594351053,0.049558948434423655
10,0.9434197629867237,0.5691920430747235,0.015178575180470943,0.03826767054852098
11,0.9413481243874187,0.5457308101659162,0.008908756775781512,0.020122380985412747
12,0.9446894769669428,0.5901037905884592,0.021823886781930923,0.055864730675239116
13,0.9447785797023969,0.5872142105486213,0.020589679945260286,0.05246100347721949
14,0.9452909204312573,0.611311402951132,0.029253429733216763,0.07098969863727689
15,0.9436647955092221,0.5676911286924133,0.014541153330355883,0.039612356398720294
16,0.9437761739285396,0.5684033033710201,0.014680577907711267,0.0395642165094614
17,0.9420163949033236,0.550656560083354,0.010117103112861514,0.024586063314927742
18,0.9445335471798985,0.6420735008248232,0.044748988933861256,0.10054900648538023
19,0.9433752116189967,0.5637834637137755,0.013543016510084271,0.03626549712498672
20,0.9426623897353649,0.5570389945872726,0.011672938941046596,0.030138886388158426
21,0.9411921946003742,0.5435262672011425,0.0086505226790905,0.022009663371136412
22,0.9435979684576317,0.5674922695312781,0.015123163582757115,0.04159195368993096
23,0.9447563040185334,0.5808384729855403,0.018974739126861095,0.053916230506729335
24,0.9454245745344382,0.6001236635105084,0.025506484787911177,0.06330589269055054
25,0.9445780985476254,0.5838436502205793,0.020577049115672708,0.056790954200550914
26,0.9447117526508064,0.5796724556222718,0.018417038954794407,0.051256615261081606
27,0.9456473313730731,0.6242294020091622,0.035045868717134,0.08438911999110132
28,0.9458700882117081,0.6077044506069627,0.0281349360011518,0.07014042820082977
29,0.9435979684576317,0.5648814621480908,0.01408224436454475,0.04057220765389502
30,0.942395081529003,0.5531432241751968,0.010896094143390656,0.02971259830519557
31,0.9451127149603493,0.5909824891989339,0.02265149774029851,0.060843970510177314
32,0.9442216876058095,0.5735364585457363,0.016807341016829014,0.048675090831238776
33,0.9462933262051145,0.6249006953623585,0.03477655537426472,0.08275688346475363
34,0.9431079034126347,0.5590718159944538,0.01239067898131907,0.03555199381662533
35,0.944511271496035,0.5767914216785772,0.01770144561305642,0.049281609390163794
36,0.9460705693664796,0.6282084343871719,0.03638994554057717,0.08698169642593712
37,0.9438207252962666,0.5679375661197965,0.0152905925642699,0.04581743123708293
38,0.9437984496124031,0.5677624960917853,0.01533337333239615,0.045637317933142185
39,0.9445335471798985,0.5763137898607915,0.01728686597198248,0.04844622121891007
40,0.9453354717989843,0.5894696802500617,0.021703528007492423,0.05922019778518006
41,0.944199411921946,0.5710769320574361,0.01599510363303125,0.04704872483853251
42,0.9453577474828477,0.5925819085841588,0.02297682175412774,0.060975693399086595
43,0.9459591909471621,0.6270067333242175,0.03623943869024515,0.08547762641683221
44,0.9457364341085271,0.5981689064435366,0.024986322969198227,0.06596718146465719
45,0.9448899581217144,0.5823784195379551,0.019710948690772057,0.05520735861500725
46,0.9465829100953399,0.619344183576942,0.032436483539640903,0.08088889211649075
47,0.9439989307671746,0.5681958981137416,0.015100997174158692,0.04591219389112666
48,0.94613739641807,0.6060522553297654,0.027982880361378193,0.07434335595462471
49,0.9450681635926222,0.585573909837986,0.020926683209836483,0.058793907752260566
50,0.9448676824378508,0.5795925421267565,0.018355787731707096,0.05194743457832374
51,0.9491257378327208,0.6181794825319407,0.0299528818577528,0.0656079538166523
