round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.7563472563472563,0.5036206120347079,0.0021928403875790536,0.0015626127715222538
2,0.7334152334152334,0.5146273813201058,0.012649990618228912,0.02595781721174717
3,0.7051597051597052,0.5218255783513307,0.030558250844478607,0.05397157371044159
4,0.6695331695331695,0.5230135775215883,0.04257088899612427,0.07895204797387123
5,0.6476248976248976,0.5282191697683877,0.05725373327732086,0.10497039556503296
6,0.6242833742833743,0.534447220317458,0.07754451036453247,0.12424758076667786
7,0.5999180999181,0.5321090404789317,0.08838418126106262,0.1360836699604988
8,0.5806715806715806,0.5337254983663313,0.09999844431877136,0.15080052614212036
9,0.5685913185913186,0.5412165057153494,0.12237769365310669,0.17237043380737305
10,0.5595823095823096,0.5465165309880728,0.12075647711753845,0.15812918543815613
11,0.550982800982801,0.5481438588640681,0.11893925070762634,0.15948015451431274
12,0.5481162981162981,0.5541327696640358,0.12608307600021362,0.16100114583969116
13,0.5442260442260443,0.5574714413695461,0.13499167561531067,0.17423614859580994
14,0.5432022932022932,0.5629909045370427,0.14017465710639954,0.17734327912330627
15,0.5389025389025389,0.5632411407328365,0.14258316159248352,0.18324503302574158
16,0.5356265356265356,0.5647330466675785,0.14103400707244873,0.1795128732919693
17,0.5337837837837838,0.5652024943000498,0.14117124676704407,0.17935821413993835
18,0.5337837837837838,0.566892777526661,0.14763212203979492,0.18282395601272583
19,0.5376740376740377,0.5745409467941234,0.14926284551620483,0.1815783977508545
20,0.5393120393120393,0.57647127560222,0.1504654884338379,0.17794311046600342
21,0.5411547911547911,0.5791006805518694,0.1525995135307312,0.1780880093574524
22,0.5436117936117936,0.5832638861839727,0.15628588199615479,0.18044303357601166
23,0.5452497952497952,0.5868844982186806,0.15483155846595764,0.1771818995475769
24,0.5448402948402948,0.5866132014199829,0.1563643217086792,0.18076136708259583
25,0.5458640458640459,0.5875731572878291,0.15908002853393555,0.18517740070819855
26,0.5483210483210483,0.590891221306627,0.16090363264083862,0.18536654114723206
27,0.5505733005733006,0.593791923054974,0.16332849860191345,0.18818719685077667
28,0.5540540540540541,0.5977882290705163,0.15812906622886658,0.1787298619747162
29,0.5571253071253072,0.6009498105451572,0.1586911678314209,0.17992480099201202
30,0.5575348075348076,0.6015028212149567,0.1605147123336792,0.17876341938972473
31,0.55999180999181,0.6045391713626527,0.1626291573047638,0.18135817348957062
32,0.5612203112203112,0.6045079201454404,0.16163897514343262,0.17953276634216309
33,0.562039312039312,0.6042053721295304,0.1676522195339203,0.18467916548252106
34,0.5624488124488124,0.6047583827993301,0.1658286154270172,0.1812562644481659
35,0.5628583128583129,0.6053113934691297,0.1640050709247589,0.17783336341381073
36,0.5628583128583129,0.6050296795980279,0.16064876317977905,0.1702907830476761
37,0.5634725634725635,0.6057183386671763,0.16125008463859558,0.1683381050825119
38,0.5649058149058149,0.6061044497204149,0.15874677896499634,0.16587799787521362
39,0.566953316953317,0.6077426475850056,0.15443956851959229,0.15808534622192383
40,0.5679770679770679,0.6089843173239537,0.15139371156692505,0.15414123237133026
41,0.5685913185913186,0.6099546902642041,0.15079239010810852,0.15177975594997406
42,0.569000819000819,0.6105077009340037,0.15170413255691528,0.1526152342557907
43,0.5692055692055692,0.610079921591149,0.1510636806488037,0.15151071548461914
44,0.569000819000819,0.6085357038362907,0.14553409814834595,0.14643068611621857
45,0.5700245700245701,0.6092139458330352,0.1448935568332672,0.14330415427684784
46,0.571048321048321,0.6098921878297796,0.14425307512283325,0.14273983240127563
47,0.5726863226863227,0.6109773750245707,0.1435929238796234,0.14206309616565704
48,0.573914823914824,0.6115095515495621,0.14019745588302612,0.13942013680934906
49,0.575962325962326,0.6125843216719492,0.13373655080795288,0.1347426176071167
50,0.5767813267813268,0.6128452013982428,0.1346091628074646,0.13481304049491882
51,0.6168645108473189,0.5966001813966901,0.13352566957473755,0.15013068914413452
