dataset_split,acc1,acc2,acc3,bal_acc1,bal_acc2,bal_acc3,stat_par1,stat_par2,stat_par3,eq_odds1,eq_odds2,eq_odds3
acs_iid10,0.7764134987113402,0.7731878221649484,0.7742509664948454,0.7522072987569197,0.7635058420936838,0.7568715998028079,-0.17349103093147278,-0.17613139748573303,-0.16936442255973816,0.10670767724514008,0.10163703560829163,0.09943066537380219
acs_iid5,0.7687695064736323,0.7694178764875259,0.7691480579103155,0.7382468922188496,0.7606910891915395,0.7575053666515723,-0.1557924598455429,-0.22483497858047485,-0.13619935512542725,0.09126152098178864,0.1494573950767517,0.05938005447387695
acs_state3,0.7699091879266254,0.7763485894931841,0.7741094980166321,0.7495558972236298,0.7572313539368651,0.7477692395815116,-0.16876211762428284,-0.18626421689987183,-0.13225343823432922,0.1004570797085762,0.11783553659915924,0.060960642993450165
acs_state5,0.7696049807302762,0.7770551351699642,0.7757060531498045,0.7555999575272532,0.7498301007495809,0.7479051971687041,-0.23461058735847473,-0.172738716006279,-0.19419045746326447,0.1680716648697853,0.1069379672408104,0.13398754224181175
adult_age3,0.795496417604913,0.7993858751279427,0.7967246673490276,0.6389543110833076,0.6945558499370225,0.6660096098834417,0.11351405456662178,0.18670031428337097,0.13531804084777832,0.10509523097425699,0.18072975985705853,0.1296856477856636
adult_age5,0.7947196070405239,0.7981989357347523,0.7939009414654113,0.6668768999531204,0.6527445512526199,0.6478673001051972,0.11564788222312927,0.08816280961036682,0.09215080738067627,0.1138569749891758,0.056968824937939644,0.07195812836289406
adult_iid10,0.8051124744376278,0.8120654396728016,0.80920245398773,0.722912573038937,0.6907472778914554,0.6705069049958263,0.15756310522556305,0.1351536512374878,0.15643563494086266,0.10221272334456444,0.10189672745764256,0.1574345314875245
adult_iid5,0.8139201637666326,0.8038894575230296,0.800818833162743,0.6876020723255335,0.68214449095359,0.7098641322994579,0.13015908002853394,0.11725755035877228,0.13075579702854156,0.10768561996519566,0.08516517095267773,0.08008013665676117
bank_age3,0.8955348217260913,0.8895368210596468,0.8912029323558813,0.6713372823245867,0.7036958145218779,0.6834592145015106,0.016377374529838562,0.021317705512046814,0.023185603320598602,0.03799714148044586,0.020289966836571693,0.03858925215899944
bank_age5,0.8978843911377644,0.8942195568882225,0.8960519740129935,0.6896943683032202,0.7060354569835134,0.7019912750290476,0.011686012148857117,0.02180483192205429,0.02446218580007553,0.03418911434710026,0.015330847352743149,0.009682439267635345
bank_iid10,0.8904063957361759,0.8915722851432378,0.8872418387741505,0.6981846338692812,0.6969909220946565,0.6815621369563278,0.04100984334945679,0.036604732275009155,0.02913498878479004,0.028699390590190887,0.019243890419602394,0.009591175243258476
bank_iid5,0.8894070619586942,0.894070619586942,0.892238507661559,0.680116449216619,0.7234738983465638,0.7267547683506936,0.02747107297182083,0.031623005867004395,0.027000263333320618,0.029407130554318428,0.030156143009662628,0.033673301339149475
cac_iid10,0.81,0.8066666666666666,0.7966666666666666,0.8131709055275934,0.8099861921517972,0.7998084717829941,0.3732895851135254,0.3538588583469391,0.3459223210811615,0.15564867854118347,0.13667425513267517,0.13329480588436127
cac_iid5,0.8,0.7966666666666666,0.8033333333333333,0.8019323671497585,0.8026033279656468,0.806629092860977,0.4075542092323303,0.4055498242378235,0.4024319648742676,0.1855180338025093,0.17817458510398865,0.17245770245790482
cac_state3,0.8006644518272426,0.7973421926910299,0.8239202657807309,0.8038819875776397,0.8012422360248447,0.8251552795031056,0.44160228967666626,0.4765521287918091,0.4704236388206482,0.20069042593240738,0.2482503205537796,0.2121395543217659
cac_state5,0.8172757475083057,0.8106312292358804,0.7906976744186046,0.8186456400742115,0.8118429189857761,0.7915893630179345,0.41873618960380554,0.3917366564273834,0.39094123244285583,0.18264249712228775,0.1567157581448555,0.17642223834991455
kdd_age3,0.9428889631362067,0.9424212050339682,0.9434680922151687,0.5411768608487212,0.5407568538413773,0.5900366497958505,0.010723228100687265,0.0077673031482845545,0.02158345654606819,0.02892743714619428,0.003522559185512364,0.02232807269319892
kdd_age5,0.9416638823922486,0.9419757211270743,0.9408620113598396,0.5652041475120044,0.5590603789906633,0.5714186506971783,0.011500662192702293,0.013481333386152983,0.01697348291054368,0.01041232270654291,0.01887972670374438,0.01836145995184779
kdd_iid10,0.9459688195991092,0.9465924276169265,0.944075723830735,0.6554499809144887,0.6025220493230337,0.6489478942500018,0.04652867279946804,0.02492046169936657,0.04919727984815836,0.09576618787832558,0.05481276731006801,0.09871039493009448
kdd_iid5,0.944826818131195,0.9452277536473995,0.9461409956565319,0.6052357520072721,0.6395598345699763,0.6268373466979295,0.028378748800605536,0.0411037877202034,0.03678665682673454,0.06200664711650461,0.09349444671534002,0.08345218712929636
