dataset_split,acc1,acc2,acc3,bal_acc1,bal_acc2,bal_acc3,stat_par1,stat_par2,stat_par3,eq_odds1,eq_odds2,eq_odds3
acs_iid10,0.7833038015463918,0.7840367268041237,0.7838675902061856,0.7605354656607308,0.7567712631254577,0.7605268335383091,-0.19024494290351868,-0.17098496854305267,-0.17399883270263672,0.12355991080403328,0.10483315959572792,0.10593932867050171
acs_iid5,0.7872339568692991,0.786553369711858,0.7872863097275637,0.7662892534489866,0.7648185902968543,0.7649821073501799,-0.18624088168144226,-0.16466984152793884,-0.17368263006210327,0.11336249858140945,0.09013520181179047,0.10066860914230347
acs_state3,0.7882206068904416,0.7872903368705072,0.7876326440206995,0.7663883144935808,0.7586563226607086,0.7647131701214154,-0.17345362901687622,-0.18732403218746185,-0.15577608346939087,0.10109507292509079,0.12178115919232368,0.0820622481405735
acs_state5,0.7869255830249238,0.7875256224906068,0.7863658146643202,0.7654252954489368,0.7652874542120676,0.7643835190934661,-0.17531299591064453,-0.18257498741149902,-0.1545400321483612,0.10276814550161362,0.11177071928977966,0.08066661283373833
adult_age3,0.8088024564994882,0.8124872057318321,0.8030706243602866,0.6855030675903677,0.685854513998877,0.6538376578250614,0.18147217854857445,0.18400300480425358,0.142398064956069,0.19806284923106432,0.19899911526590586,0.15902877319604158
adult_age5,0.8166189111747851,0.8200982398690135,0.8096602537863283,0.695636974638294,0.6905937922379616,0.6623299003284795,0.15625954046845436,0.15306559577584267,0.1169692613184452,0.1494827400892973,0.16409205459058285,0.11249756999313831
adult_iid10,0.8167689161554192,0.8171779141104294,0.8128834355828221,0.6754693513477577,0.6881768336374314,0.6788445166318247,0.13312385231256485,0.150066826492548,0.14115986227989197,0.11167634278535843,0.13650520704686642,0.12416147254407406
adult_iid5,0.8165813715455476,0.8190378710337769,0.8192425793244626,0.6931105469018047,0.6947299801001853,0.6859128754088611,0.16271020844578743,0.1544194370508194,0.1525808349251747,0.16928474139422178,0.15632934030145407,0.1617818446829915
bank_age3,0.8910363212262579,0.8940353215594802,0.8942019326891036,0.6125685981646809,0.6076374509204884,0.6222874729850527,0.018894247710704803,0.010445736348628998,0.016905229538679123,0.008280068635940552,0.02420801855623722,0.017363104969263077
bank_age5,0.8932200566383475,0.8940529735132434,0.8943861402632017,0.5899330822363605,0.603734596823764,0.5944002980702746,0.010707404464483261,0.02270147204399109,0.006392616778612137,0.002593045122921467,0.03392398543655872,0.004550543613731861
bank_iid10,0.8870752831445703,0.8894070619586942,0.8895736175882745,0.5739451112895096,0.5721756344162983,0.574123778480625,0.004300206899642944,0.007929408922791481,0.0066978819668293,0.019883383065462112,0.004997590556740761,0.0015510288067162037
bank_iid5,0.8884077281812125,0.8882411725516323,0.8882411725516323,0.6005853051693459,0.5974064047069141,0.5974064047069141,0.00739206001162529,0.0004592686891555786,0.002745702862739563,0.009398002177476883,0.022905081510543823,0.019089452922344208
cac_iid10,0.79,0.7633333333333333,0.7866666666666666,0.788762193220792,0.7586076344038127,0.7840185292414592,0.3152709901332855,0.2227696180343628,0.3533114492893219,0.10452789813280106,0.031352803111076355,0.1597769632935524
cac_iid5,0.8033333333333333,0.7866666666666666,0.8166666666666667,0.7985775630703167,0.7869028448738593,0.8152173913043479,0.3930782675743103,0.3388713300228119,0.43690700829029083,0.17111676931381226,0.11812745779752731,0.20578885823488235
cac_state3,0.8305647840531561,0.8205980066445183,0.813953488372093,0.827639751552795,0.8187888198757765,0.8125776397515527,0.4879652261734009,0.4838351458311081,0.4581224024295807,0.2317853942513466,0.23731081932783127,0.21161411702632904
cac_state5,0.8039867109634552,0.8338870431893688,0.8305647840531561,0.8024118738404453,0.8325602968460111,0.8293135435992578,0.3712770491838455,0.431727796792984,0.4651789516210556,0.1414017379283905,0.1841270476579666,0.22819096595048904
kdd_age3,0.9491257378327208,0.9488807216839291,0.9492816572001337,0.6181794825319407,0.624203434986072,0.6174077207400033,0.0299528818577528,0.031125348061323166,0.02827206254005432,0.0656079538166523,0.06043512315955013,0.059543765091802925
kdd_age5,0.945918253703085,0.945851431117051,0.9466755763448046,0.5985256917346989,0.5918478405633067,0.615369103453991,0.023741820361465216,0.021596082486212254,0.029389798641204834,0.03833698702510446,0.0355690058786422,0.049410641426220536
kdd_iid10,0.9471492204899777,0.9469710467706013,0.9476169265033407,0.6158012376845589,0.6163719730894291,0.6257041340464374,0.02744334703311324,0.02809825260192156,0.031683255918323994,0.05774248391389847,0.06094209628645331,0.07175156520679593
kdd_iid5,0.9477892861120392,0.9477001893306605,0.9476779151353157,0.6456073417509944,0.6273342264675379,0.637187590747401,0.04309808509424329,0.03424860816448927,0.03940808726474643,0.10322919744066894,0.0836935747647658,0.09840017498936504
