round,accuracy,balanced_accuracy,statistical_parity,equalized_odds
1,0.9351820915469429,0.5449982799943643,0.009699567221105099,0.005724543938413262
2,0.7202138322753091,0.7391010680308707,-0.04701593518257141,0.07703958451747894
3,0.9259383004788952,0.6356663383365742,0.02681104466319084,0.023436645045876503
4,0.5499276088651297,0.7273035241433575,0.00042182207107543945,0.05418907105922699
5,0.7573671901102572,0.8044335797965165,0.12355448305606842,0.07788150757551193
6,0.8872480231651632,0.7372695953123529,0.03653569519519806,0.0024752914905548096
7,0.8762445706648847,0.7776662211983302,0.09487947821617126,0.09163621068000793
8,0.9400155919367413,0.6224618821124066,0.030439570546150208,0.05623459117487073
9,0.9291235104131863,0.6818791015953667,0.0625490602105856,0.1172329131513834
10,0.8380665998440806,0.8025742238691347,0.12560860812664032,0.11115073785185814
11,0.9415747856108698,0.5987101428946853,0.023539777845144272,0.03361043310724199
12,0.9252923488138991,0.7241809992661518,0.07656767591834068,0.12403050623834133
13,0.900835282325426,0.7601184856789949,0.09470587968826294,0.13367444090545177
14,0.9420425437131084,0.5986387807838639,0.0233624754473567,0.02814024710096419
15,0.9314400267290344,0.6924371022615391,0.05703751556575298,0.08573498483747244
16,0.9045550729479898,0.756000569285948,0.11190688237547874,0.14428756013512611
17,0.9319523332219624,0.6896578716710922,0.07143172435462475,0.13045574072748423
18,0.8962913464751086,0.7808287277614663,0.11385364085435867,0.1543151382356882
19,0.903597282548168,0.765451234647119,0.10849401727318764,0.15158183127641678
20,0.811181646063036,0.8217880766648273,0.14400412142276764,0.12520302087068558
21,0.8943534914801203,0.7690269346126464,0.08829616010189056,0.10480205342173576
22,0.8775364739948769,0.7685548227776121,0.101883664727211,0.11226505041122437
23,0.8796302483572781,0.7953838449791888,0.13796935975551605,0.16963522136211395
24,0.943735382559305,0.6006683948311032,0.026199376210570335,0.04782715905457735
25,0.9029513308831718,0.766230789167714,0.07479435950517654,0.06834600120782852
26,0.918476445038423,0.723430334790997,0.07403898984193802,0.0917370393872261
27,0.9358057690165943,0.6930029896224491,0.07530813291668892,0.13888202421367168
28,0.8772246352600512,0.7932946344256937,0.14688445627689362,0.179519921541214
29,0.8684263280988974,0.813498515791381,0.15092064440250397,0.17253440245985985
30,0.934380220514534,0.6843673851819595,0.05784876272082329,0.09322675317525864
31,0.9342243011471211,0.6992279396311638,0.07500448822975159,0.12650189362466335
32,0.9387905111927831,0.693152120612348,0.06638842076063156,0.11433006078004837
33,0.784318966477336,0.8263913170545146,0.1250055432319641,0.0885520651936531
34,0.8927720236106471,0.7712347094194847,0.10789361596107483,0.12406459450721741
35,0.9399042209600178,0.6844275405852537,0.07056149654090405,0.1330368525814265
36,0.9436908341686157,0.5852186313982471,0.020961358211934566,0.03825204976601526
37,0.9221071388796079,0.7557407479156879,0.1151471957564354,0.1792200468480587
38,0.9338901882169507,0.7054768400217883,0.08708211407065392,0.16461703181266785
39,0.9050005568548836,0.7822699711706114,0.11448760703206062,0.14043566957116127
40,0.9349148012028066,0.6995970048247444,0.07481676153838634,0.1343121835961938
41,0.9092326539703753,0.7678205348075897,0.12343290820717812,0.17544936761260033
42,0.8447488584474886,0.8244641414372461,0.11834488809108734,0.1062845028936863
43,0.9437131083639604,0.6271698458346628,0.036991787143051624,0.0668637896887958
44,0.8689831829825148,0.8081721037293834,0.1291167214512825,0.140084870159626
45,0.9430448825036195,0.6656989419240718,0.05296542961150408,0.09972310299053788
46,0.835059583472547,0.8278017348262701,0.1130836009979248,0.09336449950933456
47,0.9409511081412184,0.5488851952004619,0.009222156135365367,0.009709685895359144
48,0.9440472212941308,0.6411675084614957,0.04203859716653824,0.07437729742377996
49,0.9427107695734491,0.5748928894373605,0.015561082866042852,0.012606351228896528
50,0.9445595277870587,0.6109107994902135,0.028890233486890793,0.052167084882967174
51,0.944826818131195,0.6052357520072721,0.028378748800605536,0.06200664711650461
