dataset_split,acc1,acc2,acc3,bal_acc1,bal_acc2,bal_acc3,stat_par1,stat_par2,stat_par3,eq_odds1,eq_odds2,eq_odds3
acs_iid10,0.5919257409793814,0.5922156894329897,0.5795546069587629,0.6485386402782051,0.6473421697419661,0.6364885876705031,0.004310190677642822,0.006174981594085693,0.004508256912231445,0.052365511655807495,0.05363890528678894,0.04699760675430298
acs_iid5,0.5869319211485412,0.5962789199202626,0.5882367154622153,0.6411607000808839,0.6597863561177669,0.6524389447667753,0.014406800270080566,0.007745265960693359,-0.0125693678855896,0.05108359456062317,0.05043315887451172,0.046837449073791504
acs_state3,0.5918973883978011,0.5904435897952198,0.5952318627549685,0.64893018499766,0.6461590261580701,0.654604731717871,-0.014376938343048096,0.01250767707824707,-0.0010152459144592285,0.048960745334625244,0.05481889843940735,0.05321511626243591
acs_state5,0.5855660305174434,0.5788608915217243,0.589585086804367,0.6516642391954983,0.6449008685095838,0.6509549815768643,0.00829094648361206,0.019885718822479248,0.0026700496673583984,0.045386552810668945,0.05160951614379883,0.043625831604003906
adult_age3,0.7504605936540429,0.7392016376663255,0.7449334698055271,0.5133635784887407,0.5635752415614206,0.5133663396955958,0.009447775781154633,0.06455232948064804,0.006875891238451004,0.0044385980581864715,0.04407898150384426,0.0012010717764496803
adult_age5,0.6983217355710193,0.7558329922226771,0.7460090053213262,0.5727334676893188,0.5492541954025766,0.5205142580053774,0.06699275970458984,0.02445071190595627,0.009190604090690613,0.04804252088069916,0.035421786829829216,0.0049187298864126205
adult_iid10,0.7568507157464213,0.7408997955010225,0.5488752556237219,0.5044106291165115,0.5554372019077901,0.6360492845786964,-0.002339087426662445,0.006736777722835541,0.23175492882728577,0.004517692374065518,0.018006175756454468,0.2300506979227066
adult_iid5,0.7529170931422723,0.7490276356192426,0.719754350051177,0.5036235602691299,0.594554681263542,0.6277158170829057,-0.0003501642495393753,0.08099008351564407,0.07298538088798523,0.004865515511482954,0.06226125732064247,0.11652188003063202
bank_age3,0.8640453182272576,0.8585471509496835,0.8360546484505165,0.5656406644262648,0.5274831121219322,0.6498200889371669,0.00819522887468338,-0.01636403426527977,0.06919961422681808,0.004200343042612076,0.050015831366181374,0.03951744735240936
bank_age5,0.8855572213893054,0.792103948025987,0.8763951357654506,0.5018104369558888,0.6229971689903828,0.5296492465171673,-0.0009188816766254604,0.05416412651538849,0.010248478502035141,0.0036564218171406537,0.029059410095214844,0.01596749573945999
bank_iid10,0.8281145902731513,0.8687541638907396,0.8532644903397735,0.6000565892795048,0.5783707311784453,0.6602936296072994,0.009858459234237671,0.006097257137298584,-0.0252239853143692,0.024631287902593613,0.001977931708097458,0.1055297963321209
bank_iid5,0.881578947368421,0.83327781479014,0.8844103930712858,0.5069403724517045,0.6143283484345984,0.5398045755333367,0.003301207907497883,0.006940692663192749,0.010108346119523048,0.003733647521585226,0.02793523669242859,0.01603811141103506
cac_iid10,0.76,0.7766666666666666,0.7766666666666666,0.7498996386993175,0.7712431419777868,0.7672286899504884,0.2684921771287918,0.3838905096054077,0.35544098913669586,0.049842216074466705,0.17489802092313766,0.14148617908358574
cac_iid5,0.7766666666666666,0.7666666666666667,0.7866666666666666,0.7806884895925992,0.7711261341398328,0.7906066536203522,0.2695590406656265,0.24911096692085266,0.316322922706604,0.03799394890666008,0.048879148438572884,0.0639686118811369
cac_state3,0.7906976744186046,0.7774086378737541,0.7906976744186046,0.785248447204969,0.7700310559006212,0.7838509316770186,0.4561240077018738,0.4119371175765991,0.42632561922073364,0.24210592359304428,0.20396489650011063,0.2055632434785366
cac_state5,0.7840531561461794,0.8073089700996677,0.7641196013289037,0.7824675324675325,0.8042671614100185,0.760513296227582,0.35797613859176636,0.38745029270648956,0.3528059870004654,0.14567550644278526,0.15931781008839607,0.16196143627166748
kdd_age3,0.9378327207929613,0.934380220514534,0.9377213498162379,0.5008744653431343,0.5075840187463793,0.5001313443346319,0.0006658082129433751,0.0017844028770923615,-9.798351675271988e-05,0.0014610090292990208,0.0061794789507985115,0.0010020515765063465
kdd_age5,0.937342688495378,0.914556186657757,0.9232208486468426,0.5001304130726791,0.5210214288402094,0.5013989650668851,5.357006739359349e-05,-0.013510765507817268,-0.0053148772567510605,0.00023082224288373254,0.03191919159144163,0.00625003082677722
kdd_iid10,0.9351670378619154,0.9353229398663697,0.935456570155902,0.5042713052906044,0.502373955691117,0.5006297669650289,-0.0015128108207136393,-0.0009092194959521294,-0.0009689107537269592,0.00828346936032176,0.005382948613259941,0.002636058139614761
kdd_iid5,0.9394141886624345,0.9367858336117608,0.9284330103575008,0.5002736304123069,0.5009434112740482,0.5059789751912561,0.00019966477702837437,-0.002001373330131173,-0.0034349486231803894,0.0005303090874804184,0.0022950659040361643,0.003971258644014597
