dataset_split,acc1,acc2,acc3,bal_acc1,bal_acc2,bal_acc3,stat_par1,stat_par2,stat_par3,eq_odds1,eq_odds2,eq_odds3
acs_iid10,0.7758940077319587,0.7720481636597938,0.7745449420103093,0.7602984917986841,0.7401824180588009,0.7481154747879062,-0.2208794355392456,-0.2107759714126587,-0.16972841322422028,0.15456796810030937,0.15425566211342812,0.10566748678684235
acs_iid5,0.7719469222560055,0.7772627509413447,0.7716650222499648,0.7401366348538225,0.7623239543641459,0.7534897483380919,-0.23642073571681976,-0.21306529641151428,-0.27431026101112366,0.18319742754101753,0.141547791659832,0.21480901166796684
acs_state3,0.7735456980045506,0.7664861164247025,0.7702233050762137,0.7522724486115937,0.7404801868898079,0.7425496470626353,-0.16643878817558289,-0.18262699246406555,-0.14773359894752502,0.09602496773004532,0.11984390765428543,0.0773969329893589
acs_state5,0.7714252346798649,0.7673820157298936,0.7747677364014546,0.7332996962479269,0.7343011415754259,0.7440160383066285,-0.23089441657066345,-0.21852973103523254,-0.21023142337799072,0.1845822036266327,0.16869500651955605,0.15325748920440674
adult_age3,0.8114636642784033,0.8112589559877175,0.8040941658137154,0.6856980087943334,0.6797314825736922,0.691089320402933,0.1802888624370098,0.18098901398479939,0.2087142877280712,0.19241050677374005,0.20367525145411491,0.23400218226015568
adult_age5,0.8012689316414244,0.7998362668849774,0.7998362668849774,0.6535895118560296,0.6473703118379867,0.6678942357415918,0.10855651646852493,0.10737083479762077,0.13533812761306763,0.10195232182741165,0.08944220095872879,0.13950064033269882
adult_iid10,0.8081799591002045,0.8120654396728016,0.807157464212679,0.7187047546408811,0.7073329338198903,0.7174418089279251,0.21901308745145798,0.1705016940832138,0.19452687352895737,0.21667588874697685,0.15196203254163265,0.18001854233443737
adult_iid5,0.8110542476970317,0.8106448311156602,0.8151484135107472,0.7010178640865528,0.6880418124842747,0.7276853313204785,0.16055382788181305,0.16455145180225372,0.20630162954330444,0.15035083889961243,0.16990588419139385,0.20197306014597416
bank_age3,0.8892035988003999,0.8918693768743752,0.8900366544485172,0.6949070459508695,0.6950818651911697,0.6887586702422577,0.04796119034290314,0.03435448557138443,0.0378836989402771,0.023836776614189148,0.020097285509109497,0.021200260147452354
bank_age5,0.8968848908878894,0.8975512243878061,0.89471930701316,0.7088097148099144,0.7148992916170203,0.7266319703947567,0.03169470280408859,0.030632972717285156,0.038076192140579224,0.02126062475144863,0.027916908264160156,0.012053627520799637
bank_iid10,0.8920719520319786,0.8907395069953364,0.891072618254497,0.7238455412729272,0.6897219884771751,0.7072131034786636,0.06332532316446304,0.03166341781616211,0.05715906620025635,0.054573360830545425,0.017977388575673103,0.06340727768838406
bank_iid5,0.8925716189207196,0.8925716189207196,0.8849100599600267,0.7090528559119391,0.7183065918210231,0.6763359284581696,0.04022885113954544,0.03971170634031296,0.03324795514345169,0.02375475876033306,0.02199646271765232,0.020045557990670204
cac_iid10,0.7866666666666666,0.82,0.8066666666666666,0.7902543316556054,0.8239722061378112,0.8084272415482607,0.32868093252182007,0.4129721522331238,0.3702791929244995,0.12327662110328674,0.19412069022655487,0.15623217076063156
cac_iid5,0.7966666666666666,0.8033333333333333,0.7866666666666666,0.8015297906602254,0.8028717122920022,0.7922705314009661,0.39094024896621704,0.3980668783187866,0.38519442081451416,0.16113290190696716,0.17109278589487076,0.1659144163131714
cac_state3,0.8205980066445183,0.7873754152823921,0.8073089700996677,0.8234472049689441,0.7928571428571429,0.81055900621118,0.44058090448379517,0.40660804510116577,0.4549694061279297,0.17632723599672318,0.16833965480327606,0.20978878438472748
cac_state5,0.813953488372093,0.8073089700996677,0.8205980066445183,0.8147804576376005,0.8085961657390228,0.8215831787260359,0.45059657096862793,0.4251877963542938,0.41109147667884827,0.22530696541070938,0.20077969878911972,0.17031486332416534
kdd_age3,0.9464082860006682,0.9463637376099788,0.946497382782047,0.6138263653046286,0.5732861277140449,0.5935300665350767,0.025556910783052444,0.013838430400937796,0.022007232531905174,0.03309012739919126,0.015152845124248415,0.04939488181844354
kdd_age5,0.941997995322419,0.9413297694620781,0.9434012696291346,0.5524300506896525,0.5452653649177207,0.572440942052117,0.012577802874147892,0.008825867436826229,0.01819011173211038,0.021001332759624347,0.00346082856412977,0.029068783624097705
kdd_iid10,0.9430289532293986,0.9459465478841871,0.9464587973273942,0.6823432182184217,0.6209852142863727,0.6295803532554622,0.06893114652484655,0.03401373792439699,0.03482833318412304,0.14256726671010256,0.07957653980702162,0.0718570341123268
kdd_iid5,0.9468760441029068,0.9457177859449828,0.9466755763448046,0.6187016624940869,0.6364769494881124,0.6174243295555646,0.03311628755182028,0.04224515473470092,0.03556147962808609,0.08358152222353965,0.09729921445250511,0.0959342589485459
