dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.6174398625429554,0.6228171615439362,0.015394181013107267,0.07991321881612136,3
acs_iid5,0.6227197981059004,0.6425355187733709,0.015167822440465268,0.060129558046658795,3
acs_state3,0.5911456550483593,0.6018898213405156,-0.020869910717010536,0.11547091603279114,3
acs_state5,0.6077634636372057,0.6139520306330228,-0.036652227242787695,0.06585071484247836,3
adult_age3,0.6486523370863186,0.5522204226516746,0.035543027023474394,0.2879780791699886,3
adult_age5,0.6324191567744576,0.5855176920842201,0.1526727999250094,0.2524692267179489,3
adult_iid10,0.6568507157464213,0.5349557120145355,-0.047313059369723,0.14112540582815802,3
adult_iid5,0.6112589559877175,0.5046603565590907,-0.056733354926109265,0.06450334439675011,3
bank_age3,0.7204820615350439,0.5438474753989537,0.1174583882093429,0.11523918062448497,3
bank_age5,0.6751068909989449,0.5355787119920646,0.028715327382087704,0.0814823557933171,3
bank_iid10,0.7856429047301798,0.5813928366962967,0.07107279449701304,0.07452887669205664,3
bank_iid5,0.6395736175882745,0.4895173492801665,0.012208864092826866,0.0920446713765462,3
cac_iid10,0.7433333333333333,0.7414023819082028,0.33659316599369044,0.14724853883186972,3
cac_iid5,0.6666666666666666,0.6667852695249955,0.30672120054562885,0.2013157779971758,3
cac_state3,0.6832779623477299,0.6809523809523809,0.274757981300354,0.1415990665555,3
cac_state5,0.672203765227021,0.6709441352298495,0.27251434822877246,0.1562243004639943,3
kdd_age3,0.6783531944908491,0.5865563284640388,-0.1171491096417109,0.14589703083038322,3
kdd_age5,0.6939377065003528,0.5908232308476983,-0.08270561198393499,0.09915320326884582,3
kdd_iid10,0.6767409057164068,0.5679539272760225,-0.10303437709808345,0.14631530145804084,3
kdd_iid5,0.6624271448193935,0.5532278413043888,-0.11790919800599416,0.14490436514218644,3
