dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.7741623711340205,0.7495321282151304,-0.20046127339204148,0.1381637056668599,3
acs_iid5,0.7736248984824382,0.7519834458520201,-0.24126543104648582,0.1798514102896054,3
acs_state3,0.7700850398351556,0.745100760854679,-0.16559979319572443,0.09775526945789653,3
acs_state5,0.7711916622704044,0.7372056253766605,-0.2198851903279622,0.1688448997835318,3
adult_age3,0.8089389286932788,0.6855062705903195,0.1899973880499601,0.21002931349600348,3
adult_age5,0.8003138218037931,0.656284686478536,0.11708849295973774,0.1102983877062797,3
adult_iid10,0.809134287661895,0.7144931657962322,0.19468055168787635,0.18288548787434888,3
adult_iid5,0.8122824974411463,0.7055816692971021,0.1771356364091237,0.17407659441232678,3
bank_age3,0.890369876707764,0.6929158604614324,0.04006645828485487,0.021711440756916934,3
bank_age5,0.8963851407629518,0.7167803256072305,0.0334679558873176,0.020410386845469433,3
bank_iid10,0.8912946924272708,0.7069268777429221,0.05071593572696046,0.0453193423648675,3
bank_iid5,0.890017765933822,0.7012317920637106,0.037729504207769965,0.02193225982288517,3
cac_iid10,0.8044444444444444,0.8075512597805591,0.37064409255981445,0.15787649403015766,3
cac_iid5,0.7955555555555556,0.7988906781177313,0.3914005160331726,0.16604670137166974,3
cac_state3,0.805094130675526,0.8089544513457557,0.4340527852376302,0.18481855839490882,3
cac_state5,0.813953488372093,0.8149866007008865,0.42895861466725665,0.19880050917466474,3
kdd_age3,0.9464231354642313,0.5935475198512501,0.020467524571965066,0.032545951447294365,3
kdd_age5,0.9422430114712106,0.5567121192198301,0.013197927347694767,0.017843648315950564,3
kdd_iid10,0.9451447661469934,0.6443029285867522,0.045924405877788795,0.09800028020981698,3
kdd_iid5,0.9464231354642315,0.624200980512588,0.03697430730486903,0.09227166520819687,3
