dataset_split,p_acc,t_acc,p_bal_acc,t_bal_acc,p_stat_par,t_stat_par,p_eq_odds,t_eq_odds
acs_iid10,0.004778452229377877,-14.414367180417347,0.10301842762682979,-2.8695216402137094,0.6115545291326263,-0.5961603008988307,0.42326164174224457,0.998411470921854
acs_iid5,0.01477958412617917,-8.134164054558765,0.175224794709343,-2.0627572815680995,0.153405718896295,-2.2494886696306033,0.14140148252662943,2.3685652726312294
acs_state3,0.009318299513292418,-10.28679047021847,0.021461780626537443,-6.7156444194069245,0.09527479521971362,3.00349221761024,0.1257987381134192,-2.546127640281539
acs_state5,0.01240658278972766,-8.894126876997618,0.012429448660697734,-8.885787433143747,0.15126099511897706,-2.2698015087898136,0.06980992014209772,3.5836706610816003
adult_age3,0.0029499919352207805,-18.370757092651537,0.06287654148627383,-3.7974217576118368,0.044937241739297196,4.556835499552235,0.007570270268774079,11.427929816846175
adult_age5,0.0026796291753052974,-19.279176225780564,0.006214106893986707,-12.626390192808019,0.027822674450425387,-5.869323777222185,0.28335166185110666,1.4531737532614803
adult_iid10,0.004181445214966229,-15.415992077577783,0.00156965635315618,-25.210761879487702,0.8415366623193727,0.22696878319584973,0.10835090850482984,2.7853027155065333
adult_iid5,0.00277198527426825,-18.95396979889772,0.04875719619277653,-4.361454672274174,0.4850480890228057,0.849551770644492,0.02279672750397853,6.509355583870669
bank_age3,0.018013251313116853,-7.3497775999842885,0.014866587240834178,8.109789013136199,0.6761422893120139,0.48409381607703245,0.6181250977909418,-0.5843372344374896
bank_age5,0.019270438286410455,-7.099142213217642,0.008443630784081375,10.81362954755535,0.47862778469002365,-0.8640645501754781,0.5672312643271089,-0.6788952160852147
bank_iid10,0.00214212578512692,-21.571428571427525,0.010493213166122386,9.685160338187515,0.11420074250392595,2.6994054212213148,0.16557337367403352,2.1412024418865214
bank_iid5,0.010436978925750658,-9.711631658670052,0.04214525100956729,4.715742664034675,0.5767487323611432,-0.6606617316620427,0.07714807150406709,-3.3885317845459664
cac_iid10,0.6666666666666642,-0.5000000000000042,0.8995176536620542,-0.14282636385364725,0.1355284237816191,-2.432050781993651,0.17928351661331107,-2.031499925173358
cac_iid5,0.007476740395162879,-11.500000000000039,0.01426764522555909,-8.282043411068498,0.0006071944690354563,-40.56376430251751,0.0019372164117071459,-22.687112485790447
cac_state3,0.16858900678945976,-2.1160368475757974,0.17021663572528387,-2.1027075924372465,0.01705852809868329,-7.5581747932728485,0.007793458635736167,-11.261202952097879
cac_state5,0.009852457023326466,-9.9999999999996,0.014144289037828866,-8.318862539157697,0.8880602315514403,-0.1593079904698343,0.7903626118510532,0.3032095970770619
kdd_age3,0.009922886992291578,-9.963915685867136,0.45744529932718636,-0.9134160889508929,0.36128489905226513,-1.1739390504334422,0.1627101843049084,-2.165681587550455
kdd_age5,0.04601228586553493,-4.4994554953886885,0.09095515923823709,-3.085166238582531,0.17199430206463562,-2.088346317875346,0.2071156874041423,-1.8401032494051632
kdd_iid10,0.07485474890267894,-3.446541336244761,0.5364071325902454,-0.7399362924763538,0.8793586276623002,-0.17186796162461024,0.5396542043743189,-0.7333537956042661
kdd_iid5,0.0031027842369102123,-17.9106660724172,0.013183334842283094,-8.623030743911823,0.019141533015481504,-7.123710497167177,0.004680635374129345,-14.565279989711463
