dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.7746174291237113,0.7575282468844705,-0.17299561699231458,0.10259179274241124,3
acs_iid5,0.7691118136238245,0.7521477826873205,-0.17227559785048163,0.1000329901774724,3
acs_state3,0.7734557584788139,0.7515188302473356,-0.1624265909194946,0.09308441976706183,3
acs_state5,0.774122056350015,0.7511117518151794,-0.20051325360933936,0.13633239145080248,3
adult_age3,0.7972023200272944,0.6665065903012573,0.14517746989925695,0.13850354620565966,3
adult_age5,0.7956064947468958,0.6558295837703124,0.09865383307139074,0.0809279760966698,3
adult_iid10,0.8087934560327198,0.6947222519754063,0.14971746380130446,0.1205146607632438,3
adult_iid5,0.8062094848174685,0.6932035651928604,0.12605747580528254,0.09097697585821146,3
bank_age3,0.8920915250472065,0.6861641037826584,0.020293561120827964,0.03229212015867227,3
bank_age5,0.8960519740129934,0.6992403667719271,0.019317676623662267,0.0197341336558262,3
bank_iid10,0.8897401732178548,0.6922458976400886,0.0355831881364186,0.0191781520843505,3
bank_iid5,0.8919053964023984,0.7101150386379588,0.0286981140573819,0.031078858301043465,3
cac_iid10,0.8044444444444444,0.807655189820795,0.3576902548472087,0.1418725798527399,3
cac_iid5,0.7999999999999999,0.8037215959921274,0.40517866611480713,0.17871677378813422,3
cac_state3,0.8073089700996677,0.8100931677018633,0.4628593524297078,0.2203601002693176,3
cac_state5,0.8062015503875969,0.8073593073593074,0.40047135949134827,0.1719268312056859,3
kdd_age3,0.9429260867951146,0.5573234548286496,0.013357995931679934,0.01825935634163513,3
kdd_age5,0.9415005382930541,0.5652277257332821,0.013985159496466233,0.015884503120711633,3
kdd_iid10,0.9455456570155901,0.6356399748291747,0.0402154714489976,0.08309645003949596,3
kdd_iid5,0.9453985224783755,0.6238776444250593,0.035423064449181134,0.07965109365371364,3
