dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.7837360395189004,0.7592778541081658,-0.17840958138306928,0.11144413302342093,3
acs_iid5,0.7870245454362402,0.765363317032007,-0.17486445109049473,0.10138876984516772,3
acs_state3,0.7877145292605494,0.763252602425235,-0.1721845815579096,0.10164616008599593,3
acs_state5,0.7869390067266169,0.7650320895848234,-0.17080933849016824,0.09840182587504383,3
adult_age3,0.8081200955305357,0.6750650798047687,0.1692910827696323,0.18536357923100386,3
adult_age5,0.8154591349433756,0.6828535557349117,0.14209813252091405,0.1420241215576728,3
adult_iid10,0.8156100886162235,0.6808302338723379,0.14145018036166823,0.1241143407920996,3
adult_iid5,0.818287273967929,0.6912511341369504,0.15657016014059386,0.1624653087928891,3
bank_age3,0.8930911918249472,0.6141645073567407,0.0154150711993376,0.016617064053813566,3
bank_age5,0.8938863901382642,0.5960226590434664,0.013267164429028767,0.013689191391070632,3
bank_iid10,0.8886853208971797,0.5734148413954777,0.006309165929754533,0.008810667476306332,3
bank_iid5,0.8882966910948257,0.5984660381943914,0.003532343854506733,0.01713084553678827,3
cac_iid10,0.7799999999999999,0.7771294522886879,0.29711735248565674,0.0985525548458099,3
cac_iid5,0.8022222222222223,0.800232599749508,0.3896188686291377,0.1650110284487406,3
cac_state3,0.8217054263565892,0.8196687370600414,0.4766409248113632,0.22690344353516892,3
cac_state5,0.82281284606866,0.8214285714285715,0.42272793253262836,0.18457325051228204,3
kdd_age3,0.9490960389055946,0.619930212752672,0.029783430819710067,0.0618622806893351,3
kdd_age5,0.9461484203883135,0.6019142119173323,0.024909233829627397,0.0411055447766557,3
kdd_iid10,0.94724573125464,0.6192924482734751,0.029074951851119534,0.06347871513571586,3
kdd_iid5,0.947722463526005,0.6367097196553111,0.03891826017449293,0.09510764906493323,3
