dataset_split,p_acc,t_acc,p_bal_acc,t_bal_acc,p_stat_par,t_stat_par,p_eq_odds,t_eq_odds
acs_iid10,0.003902756880703578,-15.960266525341472,0.1856194969099564,-1.984569829834716,0.041174470558175504,4.77466270451017,0.033888060262257436,-5.293159386552549
acs_iid5,0.000250598577038159,-63.158100874873526,0.20331905001717285,-1.864124493828179,0.4111206848443053,1.030412640741867,0.3618665959752939,-1.1721348972412453
acs_state3,0.011803690870370531,-9.122622001707636,0.02443407906084115,-6.279540537738243,0.1522501242072054,2.2603844656257763,0.17069917129598347,-2.0987892219674156
acs_state5,0.018159811103934113,-7.319237230641763,0.01744702109874342,-7.47133019714529,0.9504443536723468,0.07016847863462823,0.7927601351888884,0.2995853779048676
adult_age3,0.008959614692537952,-10.493530983225874,0.1509535386862481,-2.272745952376915,0.7518708069794668,0.3622358911417525,0.04064836528445901,4.807453404742723
adult_age5,0.0008294885797468769,-34.69960107177121,0.0029670459944505525,-18.31764996038192,0.02117953410685558,-6.761711566474349,0.6961771428481652,-0.45098932904318073
adult_iid10,0.00538336748804182,-13.574191867788038,0.03971505126374473,-4.867186113636004,0.012590198050831393,-8.827799023212592,0.4939392291780482,-0.8297736940875924
adult_iid5,0.013717107962408891,-8.450154866674833,0.020846095978796005,-6.817322002349527,0.06123434077200113,-3.853115340739615,0.509265593961713,0.7965062724797408
bank_age3,0.03412042300884871,-5.274148117954124,0.20719633845584512,1.8395993254803642,0.060893631543764225,-3.8649424330644018,0.7164247083210346,0.418203278620298
bank_age5,0.04294066575049999,-4.668931239472083,0.06717864821372599,3.66101904834197,0.10848006805337679,-2.783335889296996,0.49494393854287944,-0.8275614311259771
bank_iid10,0.013425890812872201,-8.543203882269818,0.10850117219654355,2.7830148326333335,0.14458264921179578,2.335684383191317,0.07238539854164523,3.5119391737919035
bank_iid5,0.0048761664584051735,-14.268158856098866,0.19034327483006683,1.950963104458597,0.02125663743403171,-6.749037009083759,0.09038815407959581,-3.0962983170992104
cac_iid10,0.07417990022744489,-3.4641016151378503,0.4021353803229051,-1.0547795930728165,0.003251694538903654,-17.49379249405377,0.00782382002350933,-11.23907312538633
cac_iid5,0.10133083730323554,-2.897472836319496,0.15488014230848773,-2.235749505083983,0.006078831814918213,-12.767412262930574,0.027749468132265743,-5.877394125458675
cac_state3,0.2429667013897741,-1.6385760607458308,0.24125679938569586,-1.6472852637279163,0.04529206812454212,-4.537676333912011,0.09077261209664275,-3.088739361831404
cac_state5,0.21668134810704487,-1.7820842224272595,0.2717750807799061,-1.502711415728998,0.14013127659938937,-2.381981945485316,0.19652872564065874,-1.9086123016935812
kdd_age3,0.006464757418481716,-12.376852045165748,0.1313687900039802,-2.479376773066014,0.1466219415171919,-2.3151278457220092,0.06360187992762438,-3.773490217840443
kdd_age5,0.02857341482549794,-5.7883342937132625,0.15409205884577032,-2.243070645148354,0.11381059442238502,-2.704939495332039,0.04355672024210711,-4.633540909903719
kdd_iid10,0.04456562997525673,-4.577140152930086,0.3309823498112313,-1.272974462488342,0.4670542636773434,-0.8907399448445258,0.22362099682465253,-1.742066279182882
kdd_iid5,0.0012118847026341667,-28.69950014965369,0.025362317003246072,-6.159139250154231,0.029098904134284276,-5.733492605701548,0.01758983736584548,-7.440124013864909
