dataset_split,p_acc,t_acc,p_bal_acc,t_bal_acc,p_stat_par,t_stat_par,p_eq_odds,t_eq_odds
acs_iid10,0.012829025439190655,-8.74365321565119,0.02141035245236338,-6.72397113464112,0.03914689573070216,4.904568458342763,0.1288035031757475,-2.5096177816132905
acs_iid5,0.002530654568108089,-19.840748852438356,0.011235778423899535,-9.354369243320741,0.006793874721030036,12.070340273741817,0.04386222854628106,-4.616261542393958
acs_state3,0.002327711005547181,-20.69075102391273,0.008861827496234452,-10.55205036702723,0.1312681892499473,2.4805471466720825,0.4994073990438084,-0.8177876307700663
acs_state5,0.008557822127263614,-10.740312313657103,0.034222419597113016,-5.265863200151405,0.07289517498678942,3.4981769863824645,0.08655771570465946,-3.174209102465219
adult_age3,0.005027237674243072,-14.05053934827215,0.0609052716218539,-3.86453678414094,0.6081322306491441,-0.6023605799664745,0.10586177890481238,2.823866946287527
adult_age5,0.006744562566995076,-12.114837031464788,0.08928614372929661,-3.118222367706723,0.9806057532792185,-0.027432766466352478,0.2519210977696899,1.594225012972304
adult_iid10,0.013142155623198329,-8.636800638250392,0.00556718351102815,-13.346364179711927,0.09207169721590061,-3.063532222872968,0.9362222945595408,0.09037929653100288
adult_iid5,0.0006624829557365455,-38.832627549953294,0.0024657651220094147,-20.10110068730914,0.00987352989114036,-9.989163192272606,0.8110038920025805,-0.27218624419078963
bank_age3,0.004274297159630823,-15.246562354960918,0.08603440335455267,-3.1852366711847995,0.2506815602961043,1.600242448016842,0.1875312516500375,1.9708318539975993
bank_age5,0.058484452444337164,-3.9514077147323072,0.08199192355586835,-3.2737894624922332,0.8932727365705431,-0.15180218679738286,0.3482700147002542,1.2152206254699085
bank_iid10,0.04183210609107282,-4.734529036867729,0.09677314699270963,-2.9763851436469704,0.037610944870561956,5.009749315754153,0.004218425790789141,15.34784387045533
bank_iid5,0.013416866366280995,-8.546135324097897,0.02575945168402761,-6.109601131458705,0.7224005714404367,-0.40864592334791516,0.31860604109337864,1.316592971314804
cac_iid10,0.06573050535563578,-3.705486109307806,0.07559865901059294,-3.4274465691788567,0.177562882504669,-2.044632834352519,0.28220692224331767,-1.4579579832622456
cac_iid5,0.12023554371761754,-2.6170574544624468,0.11820234214760397,-2.644139937912331,0.0700042905717739,-3.5781244499569422,0.1478183470471672,-2.303250732316197
cac_state3,0.015596760488345305,-7.913267865219095,0.014390263121895558,-8.245911486915583,0.02095078167049008,-6.79972125464316,0.12307505686389703,-2.5802925331417583
cac_state5,0.04784554045872582,-4.406000912017297,0.046389260756409735,-4.4797975535027,0.16393530492237463,-2.15513582444552,0.6828232939394011,-0.47297708177747677
kdd_age3,0.0071304506323959585,-11.779022866576542,0.22452229265213117,-1.7369886054426198,0.010240962823143147,-9.805592388229114,0.07062372842769889,3.560596746247552
kdd_age5,0.00483026544029282,-14.33628858578267,0.902999344538798,-0.13782960314748582,0.14052616257194037,-2.377792919289724,0.17959938380268162,2.0291075539505967
kdd_iid10,0.0021162368449209436,-21.70339674779826,0.042008850745621454,-4.723900398570143,0.047553481632537996,-4.420535305677224,0.4049725120423713,1.0470204585976257
kdd_iid5,0.01091157492239735,-9.494658585998481,0.018137724523525606,-7.323816184683632,0.12659506540290566,-2.5363338652344343,0.9727851243576895,0.03850190708098594
