dataset_split,p_acc,t_acc,p_bal_acc,t_bal_acc,p_stat_par,t_stat_par,p_eq_odds,t_eq_odds
acs_iid10,0.012002356182798431,-9.045440446419342,0.00991615957052028,-9.96734590231354,0.2154217206489436,1.7895289641073335,0.3178692840561188,-1.319254096390358
acs_iid5,0.0007378130121729432,-36.794797768952066,0.11030233081628533,-2.7559348209426675,0.01223602287727937,8.957063095770126,0.012736269081043186,-8.77605455548105
acs_state3,0.006222997973949415,-12.61728226928035,0.18024045577712505,-2.0242695308371026,0.11547309350300855,2.6815412034852057,0.14046185317483365,-2.37847401222105
acs_state5,0.008011554454609491,-11.105031876021169,0.012618226870726165,-8.817800864568108,0.0618002602049477,3.833680260554094,0.07224592021867737,-3.515729002238889
adult_age3,0.011648205998340995,-9.184392150683284,0.03958390433366553,-4.875744995750586,0.10563093028817684,2.827508504628638,0.008947907751526084,10.500486481732029
adult_age5,0.0018077096457416624,-23.48801047225372,0.035724910841416,-5.147889474404521,0.42996364513379637,-0.9811758035757411,0.08178207155481902,3.2785570078190602
adult_iid10,0.004668529144016702,-14.584285938914284,0.007383744440158676,-11.57300706048476,0.021743885490096024,-6.6704899538060625,0.37856284927593864,-1.1217424494073143
adult_iid5,0.0004116430146361489,-49.27260368281918,0.0040141160610682024,-15.73600502887337,0.4715993139337169,-0.8801834055183526,0.03540038774430139,5.172744699751101
bank_age3,0.06483679978110227,-3.7336432831616504,0.005845323456953004,-13.022227037061894,0.0734480839427211,-3.4834065377014234,0.22573513774385054,-1.730197735699567
bank_age5,0.001583484047087814,-25.10018387919021,0.013281012712856902,-8.590623105984847,0.15129848205845153,-2.2694430683206663,0.49683479167271216,-0.8234102026820039
bank_iid10,0.01838159450938626,-7.273711747869342,0.0037770584395026827,-16.22520389591312,0.02074450535667517,-6.834528256790334,0.12875852006461422,-2.510155555638999
bank_iid5,0.002094537634743341,-21.81588554679292,0.014228111705745951,-8.293791524820277,0.009413035938662183,-10.234159237515344,0.03910153606235702,-4.907587307146835
cac_iid10,0.0991147670770981,-2.9351975428213755,0.10660774072983255,-2.8121761105105985,0.05092305501845201,-4.260344359324369,0.06256058411630223,-3.807971987486979
cac_iid5,0.30071344067873107,-1.3834403799109742,0.28738725005655974,-1.4364987466891164,0.14021728085041035,-2.3810682024711882,0.14262118440903093,-2.355838327585044
cac_state3,0.1627816417210782,-2.1650635094611004,0.1047917901673956,-2.8408412140702906,0.010880352443380982,-9.508497379062614,0.05337207926712542,-4.153323624068554
cac_state5,0.839871846194914,-0.22941573387056025,0.8427528662909436,-0.22518246022556612,0.7441321524442313,-0.3743119632357098,0.7391302392983343,-0.3821581604631188
kdd_age3,0.3118006922804636,1.3414634146338351,0.018239632948119734,7.302757462903631,0.003105777231302497,17.901993530639913,0.8531339794777308,-0.20997682399906803
kdd_age5,0.6110123843040902,0.5971405714935886,0.665605168695085,0.5017923492329062,0.7901357084133018,0.3035528909991001,0.9135788049708193,-0.12267699879070094
kdd_iid10,0.022928130796271772,-6.490018785759594,0.014618169132675376,-8.179957274527117,0.014008362102861886,-8.359991620740725,0.022482867731353693,-6.556218145447645
kdd_iid5,0.005022297825167058,-14.057499977355146,0.0167503433218297,-7.629186839048071,0.024215390537734135,-6.308896808116907,0.018075611654367198,-7.336737869776193
