dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.7840514926975946,0.7616273036731834,-0.21947907408078504,0.15506586184104276,3
acs_iid5,0.7869319211485412,0.7674102567253493,-0.2112267166376114,0.14058392743269596,3
acs_state3,0.7879199135506649,0.7629828619303716,-0.2103640834490458,0.14434933910767234,3
acs_state5,0.7865456922670081,0.7652360973479656,-0.2071365018685659,0.13825273141264913,3
adult_age3,0.8043671102012965,0.6856197746001073,0.167522132396698,0.16332495616128043,3
adult_age5,0.8108200300177378,0.6884050032837205,0.14238195369640982,0.13783988853295645,3
adult_iid10,0.8160872528970687,0.6857832156338413,0.1469979956746101,0.1267989932869871,3
adult_iid5,0.8135107471852611,0.6756848662290231,0.14285724237561223,0.14551441837102172,3
bank_age3,0.8933688770409863,0.6394634161980304,0.010128818452358199,0.041578405847152035,3
bank_age5,0.89272030651341,0.6192761341082283,0.011180503914753533,0.005936414624253834,3
bank_iid10,0.8890184321563402,0.5954375653545778,0.0106960386037826,0.002841326097647267,3
bank_iid5,0.8872418387741505,0.6289200915686485,0.0031359121203422668,0.048299465328454895,3
cac_iid10,0.791111111111111,0.789096254064407,0.3075169026851654,0.09755053867896392,3
cac_iid5,0.7911111111111112,0.7913759169797817,0.3834127386411031,0.16540350268284476,3
cac_state3,0.8084163898117387,0.8050724637681159,0.4739172011613846,0.2411086422701676,3
cac_state5,0.8117386489479513,0.8097299525870955,0.4167034675677617,0.18922820314764974,3
kdd_age3,0.9488361732932398,0.6111300917430132,0.023958949682613168,0.042311850741195096,3
kdd_age5,0.9455321676504437,0.5953861169798286,0.020645680526892335,0.020847485245515867,3
kdd_iid10,0.9468671121009651,0.6170932599227941,0.02702395555873707,0.05285894824191923,3
kdd_iid5,0.9472398559602034,0.6373999230771691,0.035867418783406366,0.07734893945356207,3
